"altersunterschied","iq","konsumierte_bierglaeser","aufenthaltsdauer","haarfarbe","hat_Freundin","ergebnis"
2,96,1,33.9136427501217,"braun",TRUE,"Erfolg"
-4,104,0,0,"schwarz",FALSE,"Erfolg"
0,102,1,34.1397557873279,"blond",TRUE,"Erfolg"
5,91,1,33.3183381473646,"blond",TRUE,"Erfolg"
5,102,0,0,"blond",TRUE,"Erfolg"
0,82,4,133.153108526021,"rot",FALSE,"Korb"
-3,81,4,100.291486121714,"rot",FALSE,"Korb"
0,70,1,20.8661748981103,"schwarz",FALSE,"Erfolg"
0,95,2,77.1284273918718,"braun",FALSE,"Erfolg"
6,90,2,66.1674479488283,"schwarz",FALSE,"Erfolg"
-1,77,7,227.253445214592,"rot",TRUE,"Korb"
-1,100,2,42.2862586099654,"rot",TRUE,"Korb"
5,79,1,33.2563235983253,"blond",FALSE,"Erfolg"
1,87,6,152.519303876907,"rot",TRUE,"Korb"
-2,77,1,27.3908125096932,"rot",FALSE,"Korb"
1,86,3,81.2213677586988,"rot",FALSE,"Korb"
-3,71,5,140.128727769479,"rot",FALSE,"Korb"
0,71,3,95.715584247373,"braun",FALSE,"Korb"
0,102,1,35.4749520821497,"blond",FALSE,"Erfolg"
0,93,6,200.118632297963,"rot",TRUE,"Korb"
2,71,0,0,"schwarz",TRUE,"Erfolg"
1,103,2,72.0778768602759,"braun",FALSE,"Erfolg"
-1,73,2,51.4469215925783,"rot",FALSE,"Korb"
-1,71,6,203.972054338083,"braun",TRUE,"Korb"
-3,89,3,109.768818542361,"rot",TRUE,"Korb"
-2,98,6,140.683146882802,"braun",FALSE,"Korb"
-6,85,5,108.255110215396,"rot",FALSE,"Korb"
-2,90,3,88.6104782531038,"blond",TRUE,"Korb"
3,81,0,0,"schwarz",FALSE,"Erfolg"
1,89,2,44.1193502489477,"braun",TRUE,"Korb"
5,79,3,98.1461847620085,"rot",FALSE,"Korb"
-2,104,7,279.101283578202,"rot",TRUE,"Korb"
0,89,1,29.1264157416299,"blond",FALSE,"Erfolg"
-4,89,3,73.4463697532192,"blond",FALSE,"Korb"
0,74,2,77.595609696582,"braun",TRUE,"Korb"
3,79,4,98.6979926005006,"rot",FALSE,"Erfolg"
-2,78,2,62.3016902524978,"rot",FALSE,"Korb"
2,107,0,0,"schwarz",TRUE,"Erfolg"
1,104,0,0,"schwarz",TRUE,"Erfolg"
3,80,3,102.000589035451,"braun",FALSE,"Korb"
2,93,0,0,"braun",FALSE,"Erfolg"
-2,83,4,97.5317292287946,"rot",FALSE,"Korb"
6,90,2,52.3751435615122,"rot",TRUE,"Korb"
-4,74,4,148.673398904502,"schwarz",FALSE,"Korb"
-6,100,9,327.608147179708,"rot",FALSE,"Korb"
2,99,1,32.8542015329003,"blond",FALSE,"Erfolg"
4,84,6,209.324355823919,"blond",FALSE,"Korb"
6,76,4,105.53281262517,"blond",FALSE,"Korb"
4,99,1,30.1557625224814,"schwarz",TRUE,"Erfolg"
-7,103,0,0,"schwarz",TRUE,"Erfolg"
1,95,1,20.1852174615487,"braun",TRUE,"Erfolg"
-2,77,3,108.418125039898,"rot",FALSE,"Korb"
0,107,0,0,"schwarz",TRUE,"Erfolg"
